OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_NC00859319494621950973+	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_NC00859324680432469554+	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S000009386	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S000016169	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S000260419	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S000414708	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S001792891	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S002289896	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S004066193	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S004066194	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S004066196	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_S004125874	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_16S_143	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_144	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_145	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_146	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_147	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_148	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_149	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_150	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_16S_152	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC00294231012283102702+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC002942359862361336+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC00636831883103189818+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC006368432907434415+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC00636930466543048162+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC006369408822410330+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC006369659709661217+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC00949432791963280670+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC009494413757415231+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC01412532146353216148+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC014125408944410457+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_NC01681130618783063352+	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000099302	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000387193	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000387369	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000387370	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000436260	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000436261	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000436262	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000528938	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000528944	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S000701688	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S001152721	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002156909	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002156951	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002156960	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002235287	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002236386	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002288130	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002288473	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002289316	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002289571	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002289607	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002410581	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
